year,site,area_m,ndvi_min,ndvi_max,ndvi_range,ndvi_mean,ndvi_std
2014,8,25,-0.165957451,0.062295083,0.228252534,-0.059595969,0.061296947
2014,9,25,-0.092307694,0.07692308,0.169230774,-0.01341549,0.041092332
2014,10,24,-0.216730043,-0.028169014,0.18856103,-0.1228717,0.057978589
2014,11,26,-0.018450184,0.193442628,0.211892812,0.084133755,0.052966605
2014,12,24,-0.064406782,0.046153847,0.11056063,0.003628029,0.03224281
2014,13,27,-0.08361204,0.04262295,0.12623499,-0.034949126,0.028699871
2014,14,24,-0.119453922,-0.032467533,0.086986389,-0.067214262,0.022109094
2014,15,26,-0.099041536,-0.006060606,0.092980931,-0.047181088,0.025323044
2014,16,24,-0.158878505,-0.010380623,0.148497882,-0.079967349,0.040955423
2014,17,24,-0.121568628,-0.0234375,0.098131128,-0.080222248,0.025434262
2014,18,24,-0.349999994,-0.127659574,0.22234042,-0.20279979,0.064734595
2014,19,23,-0.202898547,-0.059171598,0.143726949,-0.12000457,0.032659617
2014,20,26,-0.152941182,-0.094202898,0.058738284,-0.128209467,0.013336742
2014,21,24,-0.280303031,0.002557545,0.282860576,-0.100107617,0.097853019
2014,22,24,-0.289340109,0.026217228,0.315557336,-0.152560923,0.086772937
2014,23,26,-0.195729539,0.088607594,0.284337133,-0.059447718,0.093540112
2014,24,27,-0.086142324,-0.008645534,0.07749679,-0.034001832,0.021347922
2014,25,26,-0.098305084,0.01775148,0.116056563,-0.039955873,0.035051793
2014,26,26,-0.290076345,-0.11743772,0.172638625,-0.183645486,0.042292076
2014,27,26,-0.338983059,-0.125,0.213983059,-0.228822803,0.047618377
2014,28,23,-0.323193908,-0.160142347,0.163051561,-0.219495417,0.043853565
2014,29,22,-0.166144207,-0.05466238,0.111481827,-0.097423088,0.031515102
2014,30,27,-0.118343197,-0.009771987,0.10857121,-0.067030009,0.024849566
2014,S2,24,-0.181159422,-0.032258064,0.148901358,-0.108110091,0.035271162
2014,S31,24,-0.097744361,0.006896552,0.104640912,-0.05498026,0.023443859
2014,S33,22,-0.226480842,-0.040247679,0.186233163,-0.113078213,0.042028227
2016,1,25.2,0.036065575,0.117056854,0.080991279,0.07778405,0.017097356
2016,2,25.2,0.013793103,0.131034479,0.117241375,0.073216462,0.027092292
2016,3,24.84,0.014326648,0.115987457,0.101660809,0.066693231,0.022157964
2016,4,25.2,-0.034246575,0.383084565,0.41733114,0.055918433,0.086760303
2016,5,25.2,0.078717202,0.141104296,0.062387094,0.108414639,0.014166471
2016,6,24.84,0.030508475,0.119691119,0.089182643,0.071772752,0.014628564
2016,7,25.56,0.067073174,0.119741097,0.052667923,0.092378486,0.011747148
2016,8,24.84,0.062730625,0.161764711,0.099034086,0.106731917,0.020997421
2016,9,25.2,0.08171206,0.294117659,0.2124056,0.139486716,0.041842222
2016,10,25.2,0.05882353,0.149425283,0.090601753,0.093705337,0.016809036
2016,11,24.84,0.056047197,0.137614682,0.081567485,0.087298575,0.017583122
2016,12,24.48,0.024523161,0.097178683,0.072655521,0.054905923,0.016800825
2016,13,24.84,0.027522936,0.081249997,0.053727061,0.048092415,0.012057345
2016,14,24.84,0.040247679,0.07692308,0.036675401,0.061324267,0.007657849
2016,15,24.12,0.006060606,0.133757964,0.127697358,0.067796324,0.025298197
2016,16,24.12,0.010600707,0.171102658,0.160501951,0.084866003,0.035573414
2016,17,25.56,0.048951048,0.127659574,0.078708526,0.085549612,0.017479423
2016,18,24.84,0.045454547,0.114864863,0.069410317,0.076854119,0.016000374
2016,19,24.84,0.019480519,0.085526317,0.066045798,0.047710898,0.013004127
2016,20,24.12,0.029900333,0.092063494,0.062163161,0.060396584,0.013559053
2016,21,24.12,-0.051359516,0.046439629,0.097799145,-0.003548493,0.017599109
2016,22,24.84,-0.036734693,0.07692308,0.113657773,0.015895146,0.024507117
2016,23,24.84,0.037037037,0.173144877,0.13610784,0.083353237,0.026591903
2016,24,24.48,0.00990099,0.175675675,0.165774685,0.069217363,0.034938595
2016,25,24.84,-0.003134796,0.084175088,0.087309884,0.053772032,0.016343581
